385;4339;4687;5590;4653;4848;4492;4578;6020;4964;5070;5736;5907;5962;5531
4339;385;4407;4656;3730;3956;4807;4315;5767;4646;4216;4875;5043;5149;5080
4687;4407;385;4899;4663;4762;5726;5272;6765;5569;5005;5320;5596;5887;6020
5590;4656;4899;385;4496;4209;5969;4961;6112;5343;4277;3942;4383;5159;5357
4653;3730;4663;4496;385;3723;5145;4315;5928;4643;5542;4926;5320;6225;5316
4848;3956;4762;4209;3723;385;5125;4205;5456;4533;3662;4322;4492;4530;4687
4492;4807;5726;5969;5145;5125;385;4492;5412;4455;5347;6000;6147;5781;5114
4578;4318;5272;4961;4315;4205;4492;385;4940;3737;4202;5080;5067;4677;4246
6020;5767;6765;6112;5928;5456;5412;4940;385;4612;5313;5658;5528;4653;4178
4964;4646;5569;5343;4643;4533;4455;3737;4612;385;4574;5190;5504;4636;4048
4441;4216;5005;4277;5542;3662;5347;4202;5313;4574;385;4062;4246;4284;4441
5736;4875;5320;3942;4926;4322;6000;5080;5658;5190;4062;385;3843;4663;5060
5907;5043;5596;4383;5320;4492;6147;5067;5528;5504;4246;3833;385;4332;4780
5983;5149;5887;5159;6225;4530;5781;4677;4653;4636;4284;4663;4332;385;3887
5531;5080;6020;5357;5316;4687;5114;4246;4178;4048;4441;5060;4780;3887;385
6540;6136;7155;6396;7497;5774;5928;5302;4181;4988;5559;5839;5415;4622;4390
