1.20;33.50;46.10;78.60;44.80;51.90;39.10;42.10;94.10;56.10;59.90;83.90;90.10;92.00;76.50
33.50;1.20;36.00;45.00;11.60;19.70;50.40;32.60;85.00;44.60;29.10;52.90;58.90;62.70;60.20
46.10;36.00;1.20;53.70;45.20;48.80;83.50;67.10;121.00;77.90;57.50;68.90;78.80;89.30;94.10
78.60;45.00;53.70;1.20;39.20;28.80;92.30;55.90;97.50;69.70;31.30;19.20;35.10;63.10;70.20
44.80;11.60;45.20;39.20;1.20;11.30;62.60;32.60;90.80;44.50;76.90;54.70;68.90;101.50;68.70
51.90;19.70;48.80;28.80;11.30;1.20;61.80;28.70;73.80;40.50;9.10;32.90;39.10;40.40;46.10
39.10;50.40;83.50;92.30;62.60;61.80;1.20;39.10;72.20;37.70;69.90;93.40;98.70;85.50;61.50
42.10;32.80;67.10;55.90;32.60;28.70;39.10;1.20;55.20;11.80;28.60;60.20;59.80;45.70;30.20
94.10;85.00;121.00;97.50;90.80;73.80;72.20;55.20;1.20;43.40;68.60;81.10;76.40;44.80;27.70
56.10;44.60;77.90;69.70;44.50;40.50;37.70;11.80;43.40;1.20;42.00;64.20;75.50;44.20;23.00
37.20;29.10;57.50;31.30;76.90;9.10;69.90;28.60;68.60;42.00;1.20;23.50;30.20;31.50;37.20
83.90;52.90;68.90;19.20;54.70;32.90;93.40;60.20;81.10;64.20;23.50;1.20;15.60;45.20;59.50
90.10;58.90;78.80;35.10;68.90;39.10;98.70;59.80;76.40;75.50;30.20;15.30;1.20;33.30;49.40
92.80;62.70;89.30;63.10;101.50;40.40;85.50;45.70;44.80;44.20;31.50;45.20;33.30;1.20;17.20
76.50;60.20;94.10;70.20;68.70;46.10;61.50;30.20;27.70;23.00;37.20;59.50;49.40;17.20;1.20
112.90;98.30;135.00;107.70;147.30;85.30;90.80;68.30;27.80;56.90;77.50;87.60;72.30;43.70;35.40
