9;257;353;602;344;397;299;323;721;429;459;643;690;705;586;
257;9;276;344;89;151;386;250;651;342;223;405;451;4176;462;
353;276;9;411;346;374;640;514;927;596;441;528;604;684;721;
602;344;411;9;300;221;707;428;747;534;240;147;269;483;538;
344;89;346;300;9;87;479;250;696;341;589;419;528;778;527;
397;151;374;221;87;9;474;220;565;311;70;252;299;310;353;
299;386;640;707;479;474;9;299;553;289;535;715;756;655;471;
323;251;514;428;250;220;299;9;423;91;219;462;458;350;231;
721;651;927;747;696;565;553;423;9;332;526;621;585;344;212;
429;342;596;534;341;311;289;91;332;9;322;492;579;339;176;
285;223;441;240;589;70;535;219;526;322;9;1176;231;242;;285
643;405;528;147;419;252;715;462;621;492;1176;9;120;346;;456
690;451;604;269;528;299;756;458;585;579;231;117;9;255;379;
711;4176;684;483;778;310;655;350;344;339;242;346;255;9;132;
586;462;721;538;527;353;471;231;212;176;285;456;378;132;9;
865;753;1034;825;1129;653;696;523;213;436;594;671;554;335;271;
