1,1;29,6;40,7;69,4;39,6;45,8;34,5;37,2;83,1;49,5;52,9;74,1;79,5;81,3;67,6;
29,6;1,1;31,8;39,7;10,2;17,4;44,5;28,8;75,1;39,4;25,7;46,7;52,0;55,4;53,2;
40,7;31,8;1,1;47,4;39,9;43,1;73,8;59,3;106,8;68,8;50,8;60,8;69,6;78,9;83,1;
69,4;39,7;47,4;1,1;34,6;25,5;81,5;49,4;86,1;61,6;27,6;17,0;31,0;55,7;62,0;
39,6;10,2;39,9;34,6;1,1;10,0;55,3;28,8;80,2;39,3;67,9;48,3;60,8;89,7;60,7;
45,8;17,4;43,1;25,5;10,0;1,1;54,6;25,4;65,2;35,8;8,1;29,0;34,5;35,7;40,7;
34,5;44,5;73,8;81,5;55,3;54,6;1,1;34,5;63,8;33,3;61,7;82,5;87,1;75,5;54,3;
37,2;28,9;59,3;49,4;28,8;25,4;34,5;1,1;48,7;10,4;25,2;53,2;52,8;40,4;26,7;
83,1;75,1;106,8;86,1;80,2;65,2;63,8;48,7;1,1;38,3;60,6;71,6;67,5;39,6;24,5;
49,5;39,4;68,8;61,6;39,3;35,8;33,3;10,4;38,3;1,1;37,1;56,7;66,7;39,1;20,3;
32,9;25,7;50,8;27,6;67,9;8,1;61,7;25,2;60,6;37,1;1,1;20,8;26,7;27,9;32,9;
74,1;46,7;60,8;17,0;48,3;29,0;82,5;53,2;71,6;56,7;20,8;1,1;13,8;39,9;52,6;
79,5;52,0;69,6;31,0;60,8;34,5;87,1;52,8;67,5;66,7;26,7;13,5;1,1;29,4;43,6;
81,9;55,4;78,9;55,7;89,7;35,7;75,5;40,4;39,6;39,1;27,9;39,9;29,4;1,1;15,2;
67,6;53,2;83,1;62,0;60,7;40,7;54,3;26,7;24,5;20,3;32,9;52,6;43,6;15,2;1,1;
99,7;86,8;119,2;95,1;130,1;75,3;80,2;60,3;24,6;50,3;68,4;77,4;63,9;38,6;31,2;
