14;392;539;919;524;606;456;492;1100;655;700;981;1053;1076;894
392;14;420;526;135;230;589;382;994;521;340;618;688;733;704
539;420;14;628;528;570;976;785;1414;910;672;805;922;1044;1100
919;526;628;14;458;337;1078;654;1139;815;366;225;410;737;821
524;135;528;458;14;132;731;382;1061;520;898;639;805;1186;803
606;230;570;337;132;14;723;335;863;474;107;384;456;472;539
456;589;976;1078;731;723;14;456;844;441;816;1091;1153;999;719
492;383;785;654;382;335;456;14;645;138;334;704;698;534;353
1100;994;1414;1139;1061;863;844;645;14;507;802;947;893;524;324
655;521;910;815;520;474;441;138;507;14;491;750;883;517;269
435;340;672;366;898;107;816;334;802;491;14;275;353;369;435
981;618;805;225;639;384;1091;704;947;750;275;14;183;528;695
1053;688;922;410;805;456;1153;698;893;883;353;179;14;389;578
1084;733;1044;737;1186;472;999;534;524;517;369;528;389;14;202
894;704;1100;821;803;539;719;353;324;269;435;695;577;202;14
1319;1149;1578;1258;1722;996;1061;798;325;665;906;1024;845;511;413
