87;662;832;1271;815;910;737;779;1481;967;1018;1343;1426;1453;1243;
662;87;696;817;366;476;890;651;1358;812;602;923;1005;1057;1023;
832;696;87;935;820;869;1338;1117;1844;1261;987;1140;1275;1416;1481;
1271;817;935;87;739;599;1456;965;1526;1151;632;469;684;1062;1158;
815;366;820;739;87;363;1055;651;1436;810;1248;948;1140;1581;1138;
910;476;869;599;363;87;1045;597;1206;757;333;654;737;755;832;
737;890;1338;1456;1055;1045;87;737;1185;719;1153;1471;1542;1364;1040;
779;652;1117;965;651;597;737;87;955;369;596;1023;1017;827;617;
1481;1358;1844;1526;1436;1206;1185;955;87;795;1136;1305;1241;815;584;
967;812;1261;1151;810;757;719;369;795;87;777;1077;1230;807;521;
712;602;987;632;1248;333;1153;596;1136;777;87;527;617;636;712;
1343;923;1140;469;948;654;1471;1023;1305;1077;527;87;421;820;1013;
1426;1005;1275;684;1140;737;1542;1017;1241;1230;617;416;87;659;877;
1463;1057;1416;1062;1581;755;1364;827;815;807;636;820;659;87;443;
1243;1023;1481;1158;1138;832;1040;617;584;521;712;1013;877;443;87;
1734;1537;2033;1664;2200;1361;1436;1131;586;978;1256;1393;1186;800;687;
