0,64;17,408;23,936;40,832;23,296;26,944;20,288;21,888;48,896;29,12;31,104;43,584;46,784;47,808;39,744
17,408;0,64;18,688;23,36;6,016;10,24;26,176;16,96;44,16;23,168;15,104;27,456;30,592;32,576;31,296
23,936;18,688;0,64;27,904;23,488;25,344;43,392;34,88;62,848;40,448;29,888;35,776;40,96;46,4;48,896
40,832;23,36;27,904;0,64;20,352;14,976;47,936;29,056;50,624;36,224;16,256;9,984;18,24;32,768;36,48
23,296;6,016;23,488;20,352;0,64;5,888;32,512;16,96;47,168;23,104;39,936;28,416;35,776;52,736;35,712
26,944;10,24;25,344;14,976;5,888;0,64;32,128;14,912;38,336;21,056;4,736;17,088;20,288;20,992;23,936
20,288;26,176;43,392;47,936;32,512;32,128;0,64;20,288;37,504;19,584;36,288;48,512;51,264;44,416;31,936
21,888;17,024;34,88;29,056;16,96;14,912;20,288;0,64;28,672;6,144;14,848;31,296;31,04;23,744;15,68
48,896;44,16;62,848;50,624;47,168;38,336;37,504;28,672;0,64;22,528;35,648;42,112;39,68;23,296;14,4
29,12;23,168;40,448;36,224;23,104;21,056;19,584;6,144;22,528;0,64;21,824;33,344;39,232;22,976;11,968
19,328;15,104;29,888;16,256;39,936;4,736;36,288;14,848;35,648;21,824;0,64;12,224;15,68;16,384;19,328
43,584;27,456;35,776;9,984;28,416;17,088;48,512;31,296;42,112;33,344;12,224;0,64;8,128;23,488;30,912
46,784;30,592;40,96;18,24;35,776;20,288;51,264;31,04;39,68;39,232;15,68;7,936;0,64;17,28;25,6704
48,192;32,576;46,4;32,768;52,736;20,992;44,416;23,744;23,296;22,976;16,384;23,488;17,28;0,64;8,96
39,744;31,296;48,896;36,48;35,712;23,936;31,936;15,68;14,4;11,968;19,328;30,912;25,664;8,96;0,64
58,624;51,072;70,144;55,936;76,544;44,288;47,168;35,456;14,464;29,568;40,256;45,504;37,568;22,72;18,368
