8;230;317;540;308;357;268;290;647;385;412;577;619;633;526
230;8;247;309;80;136;346;224;584;307;200;363;405;431;414
317;247;8;369;311;335;574;462;832;535;396;473;542;614;647
540;309;369;8;269;198;634;385;670;479;215;132;241;434;483
308;80;311;269;8;78;430;224;624;306;529;376;473;698;473
357;136;335;198;78;8;425;197;507;279;63;226;268;278;317
268;346;574;634;430;425;8;268;496;259;480;642;678;588;423
290;225;462;385;224;197;268;8;379;81;197;414;411;314;208
647;584;832;670;624;507;496;379;8;298;472;557;525;308;191
385;307;535;479;306;279;259;81;298;8;289;441;519;304;158
256;200;396;215;529;63;480;197;472;289;8;162;208;217;256
577;363;473;132;376;226;642;414;557;441;162;8;108;311;409
619;405;542;241;473;268;678;411;525;519;208;105;8;229;340
638;431;614;434;698;278;588;314;308;304;217;311;229;8;119
526;414;647;483;473;317;423;208;191;158;256;409;340;119;8
776;676;928;740;1013;586;624;469;191;391;533;602;497;301;243
