121;923;1160;1773;1137;1269;1028;1086;2065;1347;1420;1872;1988;2025;1733
923;121;970;1139;510;663;1241;907;1893;1132;840;1288;1402;1473;1427
1160;970;121;1304;1144;1211;1866;1556;2570;1758;1376;1589;1777;1974;2065
1773;1139;1304;121;1030;835;2030;1346;2128;1606;882;654;953;1480;1614
1137;510;1144;1030;121;506;1471;907;2002;1130;1740;1322;1589;2204;1587
1269;663;1211;835;506;121;1457;833;1682;1056;464;912;1028;1054;1160
1028;1241;1866;2030;1471;1457;121;1028;1652;1002;1608;2051;2151;1902;1450
1086;910;1556;1346;907;833;1028;121;1332;515;830;1427;1417;1153;860
2065;1893;2570;2128;2002;1682;1652;1332;121;1109;1584;1819;1730;1137;814
1347;1132;1758;1606;1130;1056;1002;515;1109;121;1084;1501;1715;1125;726
993;840;1376;882;1740;464;1608;830;1584;1084;121;736;860;886;993
1872;1288;1589;654;1322;912;2051;1427;1819;1501;736;121;587;1144;1413
1988;1402;1777;953;1589;1028;2151;1417;1730;1715;860;580;121;918;1223
2040;1473;1974;1480;2204;1054;1902;1153;1137;1125;886;1144;918;121;617
1733;1427;2065;1614;1587;1160;1450;860;814;726;993;1413;1223;617;121
2418;2144;2835;2320;3067;1898;2002;1578;817;1364;1752;1942;1654;1115;958
