2.00;53.60;73.70;125.80;71.80;83.00;62.50;67.40;150.60;89.70;95.80;134.20;144.10;147.20;122.40
53.60;2.00;57.60;71.90;18.50;31.50;176.60;52.20;136.00;71.40;46.50;84.60;94.20;100.30;96.40
73.70;57.60;2.00;85.90;72.30;78.10;133.60;107.40;193.60;124.60;92.10;110.20;126.20;142.90;150.60
125.80;71.90;85.90;2.00;62.70;46.10;147.60;89.50;155.90;111.60;50.10;30.80;56.20;100.90;112.40
71.80;18.50;72.30;62.70;2.00;18.10;100.10;52.20;145.30;71.20;123.00;87.50;110.20;162.40;110.00
83.00;31.50;78.10;46.10;18.10;2.00;99.00;45.90;118.10;64.90;14.60;52.60;62.50;64.70;73.70
62.50;176.60;133.60;147.60;100.10;99.00;2.00;62.50;115.50;60.30;111.80;149.40;157.90;136.80;98.40
67.40;52.40;107.40;89.50;52.20;45.90;62.50;2.00;88.30;18.90;45.70;96.40;95.60;73.10;48.30
150.60;136.00;193.60;155.90;145.30;118.10;115.50;88.30;2.00;69.40;109.80;129.70;122.20;71.80;44.40
89.70;71.40;124.60;111.60;71.20;64.90;60.30;18.90;69.40;2.00;67.20;102.70;120.80;70.80;36.90
59.50;46.50;92.10;50.10;123.00;14.60;111.80;45.70;109.80;67.20;2.00;37.60;48.30;50.50;59.50
134.20;84.60;110.20;30.80;87.50;52.60;149.40;96.40;129.70;102.70;37.60;2.00;25.00;72.30;95.20
144.10;94.20;126.20;56.20;110.20;62.50;157.90;95.60;122.20;120.80;48.30;24.40;2.00;53.20;79.10
148.40;100.30;142.90;100.90;162.40;64.70;136.80;73.10;71.80;70.80;50.50;72.30;53.20;2.00;27.60
122.40;96.40;150.60;112.40;110.00;73.70;98.40;48.30;44.40;36.90;59.50;95.20;79.00;27.60;2.00
1176.60;157.30;216.00;172.30;235.80;136.40;145.30;109.20;44.50;91.10;124.00;140.20;115.70;70.00;56.60
