176;1983;2143;2555;2127;2216;2054;2093;2752;2269;2318;2622;2701;2726;2529
1983;176;2015;2129;1705;1808;2197;1972;2636;2124;1927;2229;2305;2354;2322
2143;2015;176;2240;2132;2177;2618;2410;3093;2546;2288;2432;2558;2691;2752
2555;2129;2240;176;2055;1924;2729;2268;2794;2443;1955;1802;2004;2358;2449
2127;1705;2132;2055;176;1702;2352;1972;2710;2122;2533;2252;2432;2846;2430
2216;1808;2177;1924;1702;176;2343;1922;2494;2072;1674;1976;2054;2071;2143
2054;2197;2618;2729;2352;2343;176;2054;2474;2036;2444;2743;2810;2643;2338
2093;1974;2410;2268;1972;1922;2054;176;2258;1708;1921;2322;2316;2138;1941
2752;2636;3093;2794;2710;2494;2474;2258;176;2108;2429;2586;2527;2127;1910
2269;2124;2546;2443;2122;2072;2036;1708;2108;176;2091;2372;2516;2119;1851
2030;1927;2288;1955;2533;1674;2444;1921;2429;2091;176;1857;1941;1958;2030
2622;2229;2432;1802;2252;1976;2743;2322;2586;2372;1857;176;1757;2132;2313
2701;2305;2558;2004;2432;2054;2810;2316;2527;2516;1941;1752;176;1980;2185
2735;2354;2691;2358;2846;2071;2643;2138;2127;2119;1958;2132;1980;176;1777
2529;2322;2752;2449;2430;2143;2338;1941;1910;1851;2030;2313;2185;1777;176
2990;2805;3271;2924;3427;2640;2710;2424;1912;2280;2541;2669;2476;2113;2007
